"route_id","service_id","trip_id","trip_headsign","block_id","direction_id","shape_id"
"67","14905300","769850","67 COBURG RD <> 67 VRC","61","0","27617"
"67","14905300","769851","67 EUGENE STATION <> 67 via VRC","61","1","27569"
"67","14905300","769856","67 Coburg Rd to <>Delta Oaks","61","0","27618"
"67","14905300","769857","67 EUGENE STATION <> 67 via VRC","61","1","27569"
"67","14905300","769896","67 COBURG RD <> 67 VRC","65","0","27617"
"67","14905300","769897","67 EUGENE STATION <> 67 via VRC","65","1","27569"
"67","14905300","769963","67 COBURG RD <> 67 VRC","7","0","27617"
"67","14905300","769964","67 EUGENE STATION <> 67 via VRC","7","1","27569"
"67","14905300","769965","67 COBURG RD <> 67 VRC","7","0","27617"
"67","14905300","769966","67 EUGENE STATION <> 67 via VRC","7","1","27569"
"67","14905300","769971","67 COBURG RD <> 67 VRC","7","0","27617"
"67","14905300","769972","67 EUGENE STATION <> 67 via VRC","7","1","27569"
"67","14905300","769979","67 COBURG RD <> 67 VRC","70","0","27617"
"67","14905300","769980","67 EUGENE STATION <> 67 via VRC","70","1","27569"
"67","14905300","770740","67 COBURG RD <> 67 VRC","76","0","27617"
"67","14905300","770741","67 EUGENE STATION <> 67 via VRC","76","1","27569"
"67","14905300","770744","67 Coburg Rd to <>Delta Oaks","76","0","27618"
"67","14905300","770745","67 EUGENE STATION <> 67 via VRC","76","1","27569"
"67","14905300","770758","67 COBURG RD <> 67 VRC","77","0","27617"
"67","14905300","770759","67 EUGENE STATION <> 67 via VRC","77","1","27569"
"67","14905300","770788","67 Coburg Rd to <>Delta Oaks","79","0","27618"
"67","14905300","770789","DROP OFF ONLY","79","1","27570"
"67","14905300","770945","67 Coburg Rd to <>Delta Oaks","80","0","27618"
"67","14905300","770946","67 EUGENE STATION <> 67 via VRC","80","1","27569"
"67","14905300","770967","67 Coburg Rd to <>Delta Oaks","81","0","27618"
"67","14905300","770968","67 EUGENE STATION <> 67 via VRC","81","1","27569"
"79x","14905300","769904","79x KINSROW","66","0","27619"
"79x","14905300","769905","79x UO","66","1","27572"
"79x","14905300","769906","79x KINSROW","66","0","27619"
"79x","14905300","769907","79x UO","66","1","27572"
"79x","14905300","769908","79x KINSROW","66","0","27619"
"79x","14905300","769909","79x UO","66","1","27572"
"79x","14905300","769910","79x KINSROW","66","0","27619"
"79x","14905300","769911","79x UO","66","1","27572"
"79x","14905304","767999","79x UO","12","1","27572"
"79x","14905304","768060","79x KINSROW","14","0","27619"
"79x","14905304","768061","79x UO","14","1","27572"
"79x","14905304","768062","79x KINSROW","14","0","27619"
"79x","14905304","768063","79x UO","14","1","27572"
"79x","14905304","768064","79x KINSROW","14","0","27619"
"79x","14905304","768065","79x UO","14","1","27572"
"79x","14905304","768094","79x KINSROW","15","0","27619"
"79x","14905304","768095","79x UO","15","1","27572"
"79x","14905304","768096","79x KINSROW","15","0","27619"
"79x","14905304","768097","79x UO","15","1","27572"
"79x","14905304","768140","79x KINSROW","17","0","27619"
"79x","14905304","768141","79x UO","17","1","27572"
"79x","14905304","768352","79x KINSROW","22","0","27619"
"79x","14905304","768353","79x UO","22","1","27572"
"79x","14905304","768671","79x UO","39","1","27572"
"79x","14905304","768847","79x UO","44","1","27572"
"79x","14905304","768848","79x UO","44","1","27572"
"79x","14905304","768861","79x UO","45","1","27572"
"79x","14905304","769586","79x UO","46","1","27572"
"79x","14905304","769874","79x KINSROW","63","0","27619"
"79x","14905304","769875","79x UO","63","1","27572"
"79x","14905304","769876","79x KINSROW","63","0","27619"
"79x","14905304","769877","79x UO","63","1","27572"
"79x","14905304","769878","79x KINSROW","63","0","27619"
"79x","14905304","769879","79x UO","63","1","27572"
"81","14905100","770107","81 LCC < > 81 via HILYARD","7007","0","27620"
"81","14905100","770108","81 EUGENE STATION <> via UO","7007","1","27573"
"81","14905100","770115","81 LCC < > 81 via HILYARD","7007","0","27620"
"81","14905100","770116","81 EUGENE STATION <> via UO","7007","1","27573"
"81","14905100","770147","81 LCC < > 81 via HILYARD","7009","0","27620"
"81","14905100","770148","81 EUGENE STATION <> via UO","7009","1","27573"
"81","14905100","770160","81 LCC < > 81 via HILYARD","7010","0","27620"
"81","14905100","770161","81 EUGENE STATION <> via UO","7010","1","27573"
"81","14905100","770240","81 LCC < > 81 via HILYARD","7014","0","27620"
"81","14905100","770241","81 EUGENE STATION <> via UO","7014","1","27573"
"81","14905100","770368","81 LCC < > 81 via HILYARD","7022","0","27620"
"81","14905100","770369","81 EUGENE STATION <> via UO","7022","1","27573"
"81","14905100","770500","81 LCC < > 81 via HILYARD","7030","0","27620"
"81","14905100","770501","81 EUGENE STATION <> via UO","7030","1","27573"
"81","14905100","770564","81 LCC < > 81 via HILYARD","7035","0","27620"
"81","14905100","770565","81 EUGENE STATION <> via UO","7035","1","27573"
"81","14905100","770603","81 LCC < > 81 via HILYARD","7039","0","27620"
"81","14905100","770604","81 EUGENE STATION <> via UO","7039","1","27573"
